,movie_title,movie_imdb_link,num_voted_users,imdb_score,duration,gross,content_rating,budget,title_year
0,Avatar ,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,886204,7.9,178.0,760505847.0,PG-13,237000000.0,2009.0
1,Pirates of the Caribbean: At World's End ,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,471220,7.1,169.0,309404152.0,PG-13,300000000.0,2007.0
2,Spectre ,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,275868,6.8,148.0,200074175.0,PG-13,245000000.0,2015.0
3,The Dark Knight Rises ,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,1144337,8.5,164.0,448130642.0,PG-13,250000000.0,2012.0
4,Star Wars: Episode VII - The Force Awakens             ,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,8,7.1,,,,,
5,John Carter ,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,212204,6.6,132.0,73058679.0,PG-13,263700000.0,2012.0
6,Spider-Man 3 ,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,383056,6.2,156.0,336530303.0,PG-13,258000000.0,2007.0
7,Tangled ,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,294810,7.8,100.0,200807262.0,PG,260000000.0,2010.0
8,Avengers: Age of Ultron ,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,462669,7.5,141.0,458991599.0,PG-13,250000000.0,2015.0
9,Harry Potter and the Half-Blood Prince ,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,321795,7.5,153.0,301956980.0,PG,250000000.0,2009.0
10,Batman v Superman: Dawn of Justice ,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,371639,6.9,183.0,330249062.0,PG-13,250000000.0,2016.0
11,Superman Returns ,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,240396,6.1,169.0,200069408.0,PG-13,209000000.0,2006.0
12,Quantum of Solace ,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,330784,6.7,106.0,168368427.0,PG-13,200000000.0,2008.0
13,Pirates of the Caribbean: Dead Man's Chest ,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,522040,7.3,151.0,423032628.0,PG-13,225000000.0,2006.0
14,The Lone Ranger ,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,181792,6.5,150.0,89289910.0,PG-13,215000000.0,2013.0
15,Man of Steel ,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,548573,7.2,143.0,291021565.0,PG-13,225000000.0,2013.0
16,The Chronicles of Narnia: Prince Caspian ,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,149922,6.6,150.0,141614023.0,PG,225000000.0,2008.0
17,The Avengers ,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,995415,8.1,173.0,623279547.0,PG-13,220000000.0,2012.0
18,Pirates of the Caribbean: On Stranger Tides ,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,370704,6.7,136.0,241063875.0,PG-13,250000000.0,2011.0
19,Men in Black 3 ,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,268154,6.8,106.0,179020854.0,PG-13,225000000.0,2012.0
20,The Hobbit: The Battle of the Five Armies ,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,354228,7.5,164.0,255108370.0,PG-13,250000000.0,2014.0
21,The Amazing Spider-Man ,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,451803,7.0,153.0,262030663.0,PG-13,230000000.0,2012.0
22,Robin Hood ,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,211765,6.7,156.0,105219735.0,PG-13,200000000.0,2010.0
23,The Hobbit: The Desolation of Smaug ,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,483540,7.9,186.0,258355354.0,PG-13,225000000.0,2013.0
24,The Golden Compass ,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,149019,6.1,113.0,70083519.0,PG-13,180000000.0,2007.0
25,King Kong ,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,316018,7.2,201.0,218051260.0,PG-13,207000000.0,2005.0
26,Titanic ,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,793059,7.7,194.0,658672302.0,PG-13,200000000.0,1997.0
27,Captain America: Civil War ,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,272670,8.2,147.0,407197282.0,PG-13,250000000.0,2016.0
28,Battleship ,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,202382,5.9,131.0,65173160.0,PG-13,209000000.0,2012.0
